Date,STH SaaS Index,S&P 500,Nasdaq NDXT
3/8/2023 16:00:00,-43.13%,-10.33%,-23.85%
3/9/2023 16:00:00,-42.98%,-10.19%,-22.49%
3/10/2023 16:00:00,-46.36%,-12.04%,-24.74%
3/13/2023 16:00:00,-51.02%,-13.49%,-26.73%
3/14/2023 16:00:00,-50.04%,-13.64%,-26.19%
3/15/2023 16:00:00,-47.89%,-11.99%,-23.62%
3/16/2023 16:00:00,-47.70%,-12.69%,-23.97%
3/17/2023 16:00:00,-45.33%,-10.93%,-20.62%
3/20/2023 16:00:00,-46.13%,-12.03%,-21.29%
3/21/2023 16:00:00,-46.97%,-11.14%,-21.32%
3/22/2023 16:00:00,-43.91%,-9.84%,-20.17%
3/23/2023 16:00:00,-46.92%,-11.49%,-21.96%
3/24/2023 16:00:00,-44.72%,-11.19%,-19.55%
3/27/2023 16:00:00,-45.36%,-10.63%,-20.56%
3/28/2023 16:00:00,-45.20%,-10.46%,-21.32%
3/29/2023 16:00:00,-45.61%,-10.62%,-21.94%
3/30/2023 16:00:00,-43.26%,-9.20%,-19.41%
3/31/2023 16:00:00,-42.09%,-8.62%,-17.98%
4/3/2023 16:00:00,-38.48%,-7.18%,-16.23%
4/4/2023 16:00:00,-40.03%,-6.81%,-17.14%
4/5/2023 16:00:00,-39.87%,-7.39%,-18.16%
4/6/2023 16:00:00,-43.01%,-7.64%,-20.29%
4/10/2023 16:00:00,-42.33%,-7.28%,-20.17%
4/11/2023 16:00:00,-42.37%,-7.18%,-19.26%
4/12/2023 16:00:00,-42.81%,-7.19%,-19.66%
4/13/2023 16:00:00,-42.89%,-7.60%,-20.82%
4/14/2023 16:00:00,-40.90%,-6.27%,-19.25%
4/17/2023 16:00:00,-41.68%,-6.48%,-19.62%
4/18/2023 16:00:00,-40.86%,-6.15%,-19.63%
4/19/2023 16:00:00,-40.68%,-6.06%,-19.59%
4/20/2023 16:00:00,-41.01%,-6.07%,-20.37%
4/21/2023 16:00:00,-42.16%,-6.67%,-20.89%
4/24/2023 16:00:00,-41.38%,-6.58%,-21.29%
4/25/2023 16:00:00,-42.93%,-6.49%,-21.86%
4/26/2023 16:00:00,-47.46%,-8.07%,-25.43%
4/27/2023 16:00:00,-46.00%,-8.46%,-24.50%
4/28/2023 16:00:00,-44.64%,-6.50%,-22.79%
5/1/2023 16:00:00,-44.65%,-5.68%,-22.08%
5/2/2023 16:00:00,-45.07%,-5.71%,-21.96%
5/3/2023 16:00:00,-47.46%,-6.87%,-23.16%
5/4/2023 16:00:00,-48.67%,-7.57%,-23.91%
5/5/2023 16:00:00,-48.05%,-8.29%,-23.66%
5/8/2023 16:00:00,-46.77%,-6.45%,-22.08%
5/9/2023 16:00:00,-45.43%,-6.40%,-21.34%
5/10/2023 16:00:00,-45.32%,-6.86%,-22.22%
5/11/2023 16:00:00,-43.26%,-6.41%,-20.68%
5/12/2023 16:00:00,-44.07%,-6.58%,-21.00%
5/15/2023 16:00:00,-44.62%,-6.74%,-21.10%
5/16/2023 16:00:00,-41.77%,-6.44%,-18.87%
5/17/2023 16:00:00,-42.59%,-7.08%,-19.26%
5/18/2023 16:00:00,-40.08%,-5.89%,-17.32%
5/19/2023 16:00:00,-37.87%,-4.95%,-14.62%
5/22/2023 16:00:00,-38.18%,-5.09%,-14.88%
5/23/2023 16:00:00,-36.23%,-5.08%,-14.03%
5/24/2023 16:00:00,-37.86%,-6.20%,-15.62%
5/25/2023 16:00:00,-37.94%,-6.93%,-16.60%
5/26/2023 16:00:00,-37.85%,-6.05%,-13.03%
5/30/2023 16:00:00,-35.39%,-4.75%,-8.04%
5/31/2023 16:00:00,-34.28%,-4.75%,-7.84%
6/1/2023 16:00:00,-32.42%,-5.36%,-8.79%
6/2/2023 16:00:00,-32.21%,-4.37%,-7.68%
6/5/2023 16:00:00,-29.49%,-2.92%,-7.28%
6/6/2023 16:00:00,-28.43%,-3.12%,-7.56%
6/7/2023 16:00:00,-27.03%,-2.89%,-6.85%
6/8/2023 16:00:00,-31.07%,-3.27%,-8.89%
6/9/2023 16:00:00,-29.95%,-2.65%,-7.71%
6/12/2023 16:00:00,-29.40%,-2.53%,-7.45%
6/13/2023 16:00:00,-27.12%,-1.60%,-4.71%
6/14/2023 16:00:00,-25.91%,-0.91%,-3.53%
6/15/2023 16:00:00,-26.11%,-0.83%,-2.89%
6/16/2023 16:00:00,-24.00%,0.39%,-2.10%
6/20/2023 16:00:00,-25.18%,0.03%,-3.11%
