Cumulative return,Cumulative return,Cumulative return
STH SaaS Index,S&P 500,Nasdaq NDXT
-48.05%,-8.29%,-23.66%
-46.77%,-6.45%,-22.08%
-45.43%,-6.40%,-21.34%
-45.32%,-6.86%,-22.22%
-43.26%,-6.41%,-20.68%
-44.07%,-6.58%,-21.00%
-44.62%,-6.74%,-21.10%
-41.77%,-6.44%,-18.87%
-42.59%,-7.08%,-19.26%
-40.08%,-5.89%,-17.32%
-37.87%,-4.95%,-14.62%
-38.18%,-5.09%,-14.88%
-36.23%,-5.08%,-14.03%
-37.86%,-6.20%,-15.62%
-37.94%,-6.93%,-16.60%
-37.85%,-6.05%,-13.03%
-35.39%,-4.75%,-8.04%
-34.28%,-4.75%,-7.84%
-32.42%,-5.36%,-8.79%
-32.21%,-4.37%,-7.68%
-29.49%,-2.92%,-7.28%
-28.43%,-3.12%,-7.56%
-27.03%,-2.89%,-6.85%
-31.07%,-3.27%,-8.89%
-29.95%,-2.65%,-7.71%
-29.40%,-2.53%,-7.45%
-27.12%,-1.60%,-4.71%
-25.91%,-0.91%,-3.53%
-26.11%,-0.83%,-2.89%
-24.00%,0.39%,-2.10%
-25.18%,0.03%,-3.11%
-26.08%,-0.45%,-4.04%
-28.42%,-0.97%,-6.40%
-27.74%,-0.60%,-5.65%
-28.62%,-1.37%,-7.09%
-29.62%,-1.82%,-7.31%
-27.85%,-0.67%,-4.42%
-26.83%,-0.71%,-4.62%
-27.14%,-0.26%,-4.83%
-25.77%,0.97%,-3.43%
-26.19%,1.09%,-3.12%
-26.28%,0.89%,-4.08%
-27.62%,0.10%,-5.50%
-27.81%,-0.19%,-5.48%
-25.18%,0.05%,-3.31%
-23.97%,0.72%,-3.06%
-23.37%,1.47%,-2.23%
-20.82%,2.31%,0.04%
-21.35%,2.21%,-0.44%
-19.66%,2.60%,1.43%
-18.39%,3.31%,1.82%
-17.84%,3.54%,1.43%
-21.39%,2.87%,-1.97%
-21.43%,2.90%,-1.26%
-22.01%,3.30%,-1.41%
-20.78%,3.58%,0.08%
-20.91%,3.57%,-0.54%
-21.88%,2.93%,0.43%
-19.81%,3.91%,2.49%
-17.74%,4.06%,3.24%
-17.82%,3.79%,3.36%
-23.18%,2.41%,-0.60%
-24.02%,2.16%,-0.53%
-24.38%,1.63%,-1.64%
-23.92%,2.53%,-0.96%
-26.44%,2.11%,-2.80%
-27.52%,1.40%,-4.04%
-26.56%,1.43%,-3.67%
-26.67%,1.32%,-5.15%
-25.49%,1.90%,-3.27%
-26.66%,0.74%,-4.88%
-27.33%,-0.01%,-6.27%
-29.36%,-0.79%,-7.42%
-28.78%,-0.80%,-7.07%
-27.42%,-0.11%,-4.70%
-27.11%,-0.39%,-5.23%
-25.31%,0.71%,-3.37%
-27.91%,-0.63%,-6.16%
-25.83%,0.04%,-4.88%
-25.66%,0.67%,-4.19%
-23.58%,2.12%,-1.51%
-22.36%,2.50%,-0.69%
-20.49%,2.34%,0.43%
-19.48%,2.52%,1.04%
-19.35%,2.10%,1.38%
-19.60%,1.40%,1.08%
-19.66%,1.08%,-0.07%
-20.23%,1.23%,-0.27%
-19.06%,1.90%,0.64%
-21.19%,1.33%,-0.77%
-21.99%,1.45%,-0.51%
-22.10%,2.30%,0.23%
-23.60%,1.08%,-2.38%
-23.94%,1.15%,-1.90%
-24.28%,0.94%,-2.50%
-25.13%,0.00%,-4.01%
-28.40%,-1.64%,-6.03%
-28.00%,-1.87%,-5.25%
-27.99%,-1.47%,-4.97%
-29.96%,-2.94%,-6.54%
-28.74%,-2.92%,-5.78%
-27.77%,-2.33%,-4.64%
-26.97%,-2.60%,-4.17%
-26.69%,-2.59%,-3.44%
-29.65%,-3.97%,-5.90%
-28.31%,-3.16%,-4.53%
-28.74%,-3.29%,-4.96%
-25.11%,-2.11%,-2.16%
-24.44%,-1.48%,-1.76%
-24.20%,-0.96%,-0.65%
-23.90%,-0.53%,-0.12%
-25.15%,-1.15%,-0.56%
-26.72%,-1.65%,-2.37%
-24.77%,-0.59%,-1.07%
-23.93%,-0.60%,-1.22%
-26.08%,-1.94%,-2.68%
-26.52%,-2.79%,-3.94%
-29.51%,-4.05%,-5.77%
-30.02%,-4.22%,-5.98%
-28.49%,-3.49%,-4.70%
-32.97%,-4.93%,-8.31%
-33.56%,-6.11%,-9.24%
-33.39%,-6.59%,-8.58%
-32.52%,-5.39%,-8.98%
-31.10%,-4.74%,-8.16%
-33.34%,-3.69%,-6.78%
-31.52%,-1.80%,-5.19%
-29.85%,-0.86%,-3.42%
-30.65%,-0.69%,-3.80%
-27.40%,-0.41%,-1.83%
-27.19%,-0.31%,-1.61%
-29.47%,-1.11%,-2.30%
-27.06%,0.45%,0.91%
-26.79%,0.36%,0.50%
-22.56%,2.27%,3.79%
-22.51%,2.43%,3.94%
-23.03%,2.55%,3.99%
-22.15%,2.68%,4.46%
-20.56%,3.42%,6.07%
-21.25%,3.22%,5.07%
-21.13%,3.62%,5.09%
-20.79%,3.68%,5.31%
-21.08%,3.49%,5.14%
-20.25%,3.58%,5.86%
-17.93%,3.49%,7.40%
-17.73%,3.87%,7.13%
-15.26%,4.46%,7.45%
-15.69%,3.91%,6.20%
-15.78%,3.86%,5.99%
-17.09%,3.47%,5.28%
-17.31%,4.26%,7.12%
-16.33%,4.67%,7.58%
-15.06%,5.07%,9.92%
-14.11%,5.53%,10.90%
-12.25%,6.89%,12.28%
-12.03%,7.16%,13.28%
-11.29%,7.15%,14.12%
-10.61%,7.60%,14.03%
-9.78%,8.19%,14.45%
-11.47%,6.72%,12.66%
-9.85%,7.75%,14.57%
-9.74%,7.92%,15.03%
-9.04%,8.34%,16.02%
-9.02%,8.48%,16.01%
-9.01%,8.52%,15.91%
-9.98%,8.24%,15.26%
-13.67%,7.67%,12.12%
-16.08%,6.87%,10.67%
-16.42%,6.53%,10.09%
-16.16%,6.71%,10.34%
-12.92%,8.12%,13.19%
-12.01%,7.97%,13.72%
-10.91%,8.54%,14.32%
-10.19%,8.47%,14.86%
-10.18%,8.55%,14.80%
